,year,month,nextmonth_return,date
0,2011,3,27.888798187715764,2011-03-01
1,2011,6,-75.1584704889487,2011-06-01
2,2011,9,-17.841869507568887,2011-09-01
3,2011,12,-119.33864362192469,2011-12-01
0,2012,3,-79.81785669667693,2012-03-01
1,2012,6,,2012-06-01
2,2012,9,,2012-09-01
3,2012,12,-2.5942246123032406,2012-12-01
0,2013,3,,2013-03-01
1,2013,6,-24.79524224004976,2013-06-01
2,2013,9,,2013-09-01
3,2013,12,-17.648195665147917,2013-12-01
0,2014,6,-24.182152772517597,2014-06-01
1,2014,12,8.956502430471087,2014-12-01
0,2015,3,,2015-03-01
1,2015,6,-2.3966292832952174,2015-06-01
2,2015,12,40.988357977266666,2015-12-01
0,2016,6,-37.81740938147142,2016-06-01
1,2016,9,,2016-09-01
2,2016,12,21.748406561019706,2016-12-01
0,2017,6,36.04487626680227,2017-06-01
1,2017,9,,2017-09-01
2,2017,12,-4.341377384163156,2017-12-01
