iter	Logloss
0	0.6264709743
1	0.5616574392
2	0.5152816808
3	0.454245767
4	0.4199139611
5	0.3955501812
6	0.3817638839
7	0.3663943146
8	0.3502320203
9	0.3384020416
10	0.320477001
11	0.3117824458
12	0.3032969787
13	0.2962027315
14	0.2897814113
15	0.2815786822
16	0.2743703683
17	0.2682944822
18	0.2632332311
19	0.2603846
20	0.2575150946
21	0.2539856367
22	0.2482108501
23	0.2451211323
24	0.2429096305
25	0.2393241957
26	0.2348917532
27	0.2318818981
28	0.229672934
29	0.2256317224
30	0.2241662265
31	0.2220172131
32	0.2211989481
33	0.2194118014
34	0.2187528039
35	0.2177637549
36	0.2164219441
37	0.216267543
38	0.2133574345
39	0.2111693933
40	0.2097934796
41	0.2083923252
42	0.2069328697
43	0.2056122223
44	0.2048942488
45	0.2030691934
46	0.2019315786
47	0.1993997141
48	0.1983187861
49	0.1972852741
50	0.1956230595
51	0.1934434805
52	0.1919429027
53	0.1919367827
54	0.1916510587
55	0.1906086539
56	0.1901247119
57	0.1890210566
58	0.1871347217
59	0.1862763832
60	0.1845198646
61	0.1836609709
62	0.1825883061
63	0.1817870856
64	0.1811130576
65	0.1805580338
66	0.1798126527
67	0.1786064212
68	0.1772778183
69	0.1772161894
70	0.1758002165
71	0.1753790144
