iter	Passed	Remaining
0	617	617275
1	1588	792556
2	2475	822619
3	3362	837171
4	4215	838903
5	4985	825916
6	5747	815254
7	6787	841663
8	7793	858124
9	8629	854356
10	9604	863491
11	10670	878508
12	11456	869800
13	12051	848802
14	12964	851364
15	13920	856089
16	14902	861706
17	15915	868299
18	17001	877812
19	18049	884429
20	18928	882450
21	19982	888331
22	20992	891721
23	21782	885812
24	22776	888279
25	23715	888406
26	24735	891379
27	25744	893699
28	26576	889842
29	27387	885514
30	28191	881199
31	29273	885525
32	30047	880486
33	31074	882870
34	32007	882497
35	32827	879049
36	33621	875064
37	33837	856625
38	34859	858973
39	35879	861103
40	36878	862599
41	37903	864565
42	39005	868102
43	40065	870521
44	41120	872667
45	42143	874015
46	43129	874525
47	44204	876723
48	45043	874206
49	46030	874581
50	46972	874055
51	47970	874543
52	48912	873972
53	48946	857468
54	49361	848124
55	50280	847577
56	51100	845392
57	52111	846370
58	53117	847177
59	54144	848259
60	55014	846859
61	55946	846411
62	57082	848995
63	58058	849106
64	59056	849504
65	60252	852661
66	61368	854580
67	62407	855348
68	63452	856147
69	63696	846255
70	64793	847797
71	65864	848915
