cik,gvkey,conm,DATADATE1,DATADATE2,SOURCE,coname,FNDATE,LNDATE,N10K,N10K_NT,N10K_A,N10Q,N10Q_NT,N10Q_A,NDEF,N8K,NTOT,FLAG
0001402536,001026,AID INC-DEL CL A,31DEC1966,31DEC1976,COMPH,"AI DOCUMENT SERVICES, INC.",08JUN2007,29MAR2016,10,3,2,24,5,0,0,10,85,2
0000722077,001038,AMC ENTERTAINMENT INC -OLD,31MAR1983,31MAR2004,CUSIP,AMC ENTERTAINMENT INC,21JAN1994,10MAR2016,31,1,7,79,2,11,14,216,674,3
0000722077,001038,AMC ENTERTAINMENT INC -OLD,31MAR1983,31MAR2004,CUSIP,AMC ENTERTAINMENT INC,21JAN1994,10MAR2016,31,1,7,79,2,11,14,216,674,3
0000007951,001063,ASI,31DEC1975,31DEC1981,FDATE,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,26MAR2001,02OCT2018,20,1,6,37,1,1,4,52,247,2
0000007951,001063,ASI,31DEC1975,31DEC1981,FDATE,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,26MAR2001,02OCT2018,20,1,6,37,1,1,4,52,247,2
0000718877,001111,ACTIVISION INC,31MAR1983,31MAR2008,FDATE,"ACTIVISION BLIZZARD, INC.",30JUN1995,07FEB2020,30,2,3,77,2,1,51,250,1663,3
0000718877,001111,ACTIVISION INC,31MAR1983,31MAR2008,FDATE,"ACTIVISION BLIZZARD, INC.",30JUN1995,07FEB2020,30,2,3,77,2,1,51,250,1663,3
0000312257,001328,ALPHA SOLARCO INC,31MAY1980,31MAY1996,FDATE,INNOVATIVE FOOD HOLDINGS INC,05OCT1995,30JAN2020,23,4,3,70,9,11,3,57,251,2
0000312257,001328,ALPHA SOLARCO INC,31MAY1980,31MAY1996,FDATE,INNOVATIVE FOOD HOLDINGS INC,05OCT1995,30JAN2020,23,4,3,70,9,11,3,57,251,2
0001062478,001706,ENERPAC TOOL GROUP CORP,31AUG1974,31AUG2019,CUSIP,ACTUATE CORP,01JUN1998,12FEB2015,19,1,2,51,1,1,21,107,801,2
0001062478,001706,ENERPAC TOOL GROUP CORP,31AUG1974,31AUG2019,CUSIP,ACTUATE CORP,01JUN1998,12FEB2015,19,1,2,51,1,1,21,107,801,2
0000007431,001762,ARMSTRONG HOLDINGS INC,31DEC1950,31DEC2006,CUSIP,ARMSTRONG WORLD INDUSTRIES INC,08FEB1994,02DEC2019,32,0,6,79,0,1,31,264,1154,3
0000319458,001797,ASPEN EXPLORATION CORP -OLD,30JUN1981,30JUN2009,FDATE,ENSERVCO CORP,07NOV1995,10JAN2020,29,2,3,81,4,4,17,152,556,2
0000319458,001797,ASPEN EXPLORATION CORP -OLD,30JUN1981,30JUN2009,FDATE,ENSERVCO CORP,07NOV1995,10JAN2020,29,2,3,81,4,4,17,152,556,2
0001353487,001855,ATLAS CONS MINING & DEV CORP,31DEC1960,31DEC1993,COMPH,"TARONIS TECHNOLOGIES, INC.",03APR2006,21JAN2020,18,2,3,54,8,5,27,273,780,2
0001353487,001855,ATLAS CONS MINING & DEV CORP,31DEC1960,31DEC1993,COMPH,"TARONIS TECHNOLOGIES, INC.",03APR2006,21JAN2020,18,2,3,54,8,5,27,273,780,2
0001353487,001855,ATLAS CONS MINING & DEV CORP,31DEC1960,31DEC1993,COMPH,"TARONIS TECHNOLOGIES, INC.",03APR2006,21JAN2020,18,2,3,54,8,5,27,273,780,2
0001353487,001855,ATLAS CONS MINING & DEV CORP,31DEC1960,31DEC1993,COMPH,"TARONIS TECHNOLOGIES, INC.",03APR2006,21JAN2020,18,2,3,54,8,5,27,273,780,2
0000009466,001995,CONSTELLATION ENERGY GRP INC,31DEC1951,31DEC2011,CUSIP,BALTIMORE GAS & ELECTRIC CO,14FEB1994,31OCT2019,25,0,0,81,0,3,6,159,523,2
