,GVKEY
0,1021
1,1034
2,1078
3,1094
4,1115
5,1177
6,1234
7,1244
8,1259
9,1359
10,1478
11,1523
12,1559
13,1602
14,1633
15,1656
16,1884
17,1951
18,2044
19,2070
20,2085
21,2086
22,2111
23,2169
24,2193
25,2220
26,2222
27,2226
28,2230
29,2236
30,2240
31,2246
32,2251
33,2267
34,2299
35,2403
36,2547
37,2589
38,2616
39,2751
40,2897
41,2903
42,2940
43,2942
44,2960
45,2990
46,3011
47,3116
48,3169
49,3171
50,3288
51,3311
52,3504
53,3584
54,3673
55,3691
56,3735
57,3786
58,3807
59,3915
60,3916
61,3917
62,3934
63,3971
64,4124
65,4145
66,4162
67,4228
68,4245
69,4329
70,4409
71,4418
72,4632
73,4641
74,4675
75,4826
76,4843
77,5020
78,5045
79,5174
80,5180
81,5241
82,5336
83,5421
84,5479
85,5557
86,5639
87,5697
88,5785
89,5798
90,5841
91,5885
92,5888
93,5901
94,5902
95,5988
96,6039
97,6054
98,6096
99,6110
100,6158
101,6170
102,6266
103,6315
104,6410
105,6575
106,6598
107,6677
108,6722
109,6730
110,6924
111,6981
112,7133
113,7171
114,7186
115,7205
116,7208
117,7215
118,7228
119,7241
120,7243
121,7245
122,7250
123,7257
124,7275
125,7409
126,7503
127,7504
128,7526
129,7536
130,7556
131,7637
132,7662
133,7683
134,7694
135,7723
136,7741
137,7750
138,7826
139,7828
140,7850
141,7936
142,8014
143,8020
144,8133
145,8213
146,8333
147,8488
148,8526
149,8530
150,8546
151,8666
152,8687
153,8858
154,8872
155,9051
156,9330
157,9340
158,9372
159,9459
160,9490
161,9590
162,9607
163,9689
164,9916
165,9939
166,9969
167,10115
168,10185
169,10211
170,10237
171,10238
172,10244
173,10254
174,10321
175,10380
176,10407
177,10530
178,10550
179,10734
180,10761
181,10903
182,11032
183,11035
184,11051
185,11115
186,11136
187,11160
188,11183
189,11376
190,11730
191,11774
192,11793
193,11805
194,11832
195,11836
196,11898
197,11914
198,11919
199,11929
200,11935
201,11982
202,12065
203,12077
204,12091
205,12126
206,12131
207,12180
208,12181
209,12233
210,12250
211,12252
212,12253
213,12257
214,12274
215,12338
216,12381
217,12390
218,12405
219,12433
220,12458
221,12479
222,12560
223,12573
224,12576
225,12580
226,12589
227,12595
228,12684
229,12691
230,12711
231,12713
232,12717
233,12719
234,12757
235,12818
236,12834
237,12850
238,12874
239,12879
240,12915
241,12917
242,12942
243,12947
244,12961
245,13013
246,13071
247,13110
248,13123
249,13172
250,13184
251,13198
252,13204
253,13235
254,13239
255,13282
256,13288
257,13316
258,13332
259,13334
260,13365
261,13397
262,13422
263,13467
264,13474
265,13483
266,13484
267,13593
268,13599
269,13619
270,13623
271,13631
272,13657
273,13700
274,13704
275,13721
276,13733
277,13786
278,13789
279,13794
280,13800
281,13835
282,13839
283,13849
284,13992
285,14102
286,14169
287,14186
288,14242
289,14257
