,0
0,1004
1,1010
2,1013
3,1019
4,1021
5,1034
6,1036
7,1037
8,1038
9,1045
10,1048
11,1050
12,1056
13,1062
14,1072
15,1075
16,1076
17,1078
18,1081
19,1082
20,1084
21,1094
22,1095
23,1096
24,1097
25,1099
26,1104
27,1107
28,1109
29,1111
30,1115
31,1117
32,1119
33,1121
34,1148
35,1154
36,1161
37,1164
38,1165
39,1166
40,1173
41,1177
42,1183
43,1186
44,1193
45,1209
46,1210
47,1213
48,1224
49,1225
50,1228
51,1230
52,1234
53,1238
54,1239
55,1240
56,1243
57,1244
58,1246
59,1254
60,1257
61,1258
62,1259
63,1262
64,1263
65,1266
66,1272
67,1274
68,1279
69,1281
70,1283
71,1300
72,1308
73,1318
74,1324
75,1327
76,1331
77,1334
78,1336
79,1352
80,1356
81,1359
82,1360
83,1363
84,1367
85,1372
86,1380
87,1382
88,1388
89,1393
90,1397
91,1408
92,1410
93,1414
94,1417
95,1418
96,1429
97,1439
98,1440
99,1441
100,1444
101,1447
102,1448
103,1449
104,1450
105,1465
106,1468
107,1478
108,1487
109,1491
110,1496
111,1500
112,1507
113,1511
114,1518
115,1523
116,1526
117,1530
118,1533
119,1539
120,1545
121,1554
122,1559
123,1562
124,1567
125,1577
126,1581
127,1585
128,1587
129,1593
130,1594
131,1598
132,1602
133,1606
134,1611
135,1613
136,1618
137,1619
138,1627
139,1632
140,1633
141,1634
142,1635
143,1641
144,1642
145,1650
146,1651
147,1655
148,1656
149,1659
150,1661
151,1663
152,1669
153,1677
154,1678
155,1681
156,1682
157,1686
158,1689
159,1690
160,1704
161,1705
162,1706
163,1712
164,1715
165,1718
166,1722
167,1728
168,1738
169,1742
170,1743
171,1745
172,1762
173,1766
174,1773
175,1783
176,1790
177,1794
178,1797
179,1814
180,1819
181,1820
182,1822
183,1823
184,1828
185,1837
186,1856
187,1860
188,1864
189,1866
190,1868
191,1874
192,1875
193,1878
194,1884
195,1891
196,1902
197,1906
198,1913
199,1914
200,1919
201,1920
202,1926
203,1932
204,1940
205,1943
206,1945
207,1949
208,1951
209,1956
210,1968
211,1969
212,1971
213,1974
214,1976
215,1979
216,1981
217,1982
218,1988
219,1992
220,1995
221,1998
222,2002
223,2005
224,2007
225,2008
226,2011
227,2019
228,2025
229,2028
230,2033
231,2034
232,2044
233,2049
234,2052
235,2054
236,2055
237,2058
238,2060
239,2061
240,2070
241,2073
242,2080
243,2085
244,2086
245,2100
246,2101
247,2109
248,2111
249,2113
250,2124
251,2128
252,2130
253,2136
254,2137
255,2138
256,2141
257,2142
258,2146
259,2150
260,2154
261,2162
262,2163
263,2169
264,2176
265,2184
266,2189
267,2193
268,2204
269,2205
270,2215
271,2220
272,2222
273,2226
274,2230
275,2236
276,2237
